Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-04 00:00:00+09:00,2522.219970703125,2525.6298828125,2510.52001953125,2514.949951171875,498900,0.0,0.0
2023-12-05 00:00:00+09:00,2507.449951171875,2509.739990234375,2492.550048828125,2494.280029296875,427100,0.0,0.0
2023-12-06 00:00:00+09:00,2503.570068359375,2509.669921875,2495.3798828125,2495.3798828125,391000,0.0,0.0
2023-12-07 00:00:00+09:00,2493.139892578125,2499.72998046875,2481.0,2492.070068359375,446900,0.0,0.0
2023-12-08 00:00:00+09:00,2510.239990234375,2521.580078125,2507.139892578125,2517.85009765625,431800,0.0,0.0
2023-12-11 00:00:00+09:00,2524.7900390625,2528.889892578125,2512.449951171875,2525.360107421875,435000,0.0,0.0
2023-12-12 00:00:00+09:00,2535.110107421875,2543.06005859375,2529.739990234375,2535.27001953125,378000,0.0,0.0
2023-12-13 00:00:00+09:00,2531.22998046875,2531.22998046875,2509.889892578125,2510.659912109375,377900,0.0,0.0
2023-12-14 00:00:00+09:00,2547.739990234375,2549.64990234375,2532.159912109375,2544.179931640625,530100,0.0,0.0
2023-12-15 00:00:00+09:00,2558.43994140625,2574.22998046875,2555.300048828125,2563.56005859375,465300,0.0,0.0
2023-12-18 00:00:00+09:00,2568.77001953125,2573.1298828125,2556.050048828125,2566.860107421875,383000,0.0,0.0
2023-12-19 00:00:00+09:00,2564.81005859375,2570.06005859375,2556.52001953125,2568.550048828125,392500,0.0,0.0
2023-12-20 00:00:00+09:00,2586.989990234375,2615.3798828125,2584.85009765625,2614.300048828125,570400,0.0,0.0
2023-12-21 00:00:00+09:00,2598.3701171875,2610.81005859375,2587.159912109375,2600.02001953125,578300,0.0,0.0
2023-12-22 00:00:00+09:00,2617.719970703125,2621.3701171875,2599.510009765625,2599.510009765625,466000,0.0,0.0
2023-12-26 00:00:00+09:00,2609.43994140625,2612.139892578125,2594.64990234375,2602.590087890625,439500,0.0,0.0
2023-12-27 00:00:00+09:00,2599.35009765625,2613.5,2590.080078125,2613.5,349700,0.0,0.0
2023-12-28 00:00:00+09:00,2616.27001953125,2655.280029296875,2611.719970703125,2655.280029296875,460100,0.0,0.0
2024-01-02 00:00:00+09:00,2645.469970703125,2675.800048828125,2641.8798828125,2669.81005859375,409900,0.0,0.0
2024-01-03 00:00:00+09:00,2643.5400390625,2643.719970703125,2607.31005859375,2607.31005859375,463100,0.0,0.0
2024-01-04 00:00:00+09:00,2592.43994140625,2602.639892578125,2580.090087890625,2587.02001953125,770200,0.0,0.0
2024-01-05 00:00:00+09:00,2586.889892578125,2592.2900390625,2572.60009765625,2578.080078125,520500,0.0,0.0
2024-01-08 00:00:00+09:00,2584.22998046875,2591.679931640625,2566.340087890625,2567.820068359375,320100,0.0,0.0
2024-01-09 00:00:00+09:00,2598.31005859375,2599.3701171875,2556.0,2561.239990234375,790300,0.0,0.0
2024-01-10 00:00:00+09:00,2563.969970703125,2568.18994140625,2539.820068359375,2541.97998046875,570000,0.0,0.0
2024-01-11 00:00:00+09:00,2543.030029296875,2557.300048828125,2540.27001953125,2540.27001953125,788400,0.0,0.0
2024-01-12 00:00:00+09:00,2536.550048828125,2543.830078125,2517.760009765625,2525.050048828125,790200,0.0,0.0
2024-01-15 00:00:00+09:00,2525.68994140625,2536.06005859375,2515.840087890625,2525.989990234375,800000,0.0,0.0
2024-01-16 00:00:00+09:00,2516.27001953125,2524.35009765625,2491.1298828125,2497.590087890625,659600,0.0,0.0
2024-01-17 00:00:00+09:00,2501.22998046875,2503.909912109375,2435.340087890625,2435.89990234375,965600,0.0,0.0
2024-01-18 00:00:00+09:00,2439.9599609375,2453.969970703125,2429.1201171875,2440.0400390625,570000,0.0,0.0
2024-01-19 00:00:00+09:00,2468.429931640625,2479.0,2455.5,2472.739990234375,518800,0.0,0.0
2024-01-22 00:00:00+09:00,2489.570068359375,2490.68994140625,2464.35009765625,2464.35009765625,386600,0.0,0.0
2024-01-23 00:00:00+09:00,2478.320068359375,2482.840087890625,2464.239990234375,2478.610107421875,472300,0.0,0.0
2024-01-24 00:00:00+09:00,2476.219970703125,2476.219970703125,2454.340087890625,2469.68994140625,395500,0.0,0.0
2024-01-25 00:00:00+09:00,2467.72998046875,2474.010009765625,2452.360107421875,2470.340087890625,357200,0.0,0.0
2024-01-26 00:00:00+09:00,2458.050048828125,2502.610107421875,2453.449951171875,2478.56005859375,292700,0.0,0.0
2024-01-29 00:00:00+09:00,2490.929931640625,2516.919921875,2483.81005859375,2500.64990234375,421800,0.0,0.0
2024-01-30 00:00:00+09:00,2523.679931640625,2528.5400390625,2498.81005859375,2498.81005859375,481800,0.0,0.0
2024-01-31 00:00:00+09:00,2487.89990234375,2502.449951171875,2486.969970703125,2497.090087890625,437600,0.0,0.0
2024-02-01 00:00:00+09:00,2491.929931640625,2542.4599609375,2491.929931640625,2542.4599609375,751100,0.0,0.0
2024-02-02 00:00:00+09:00,2559.39990234375,2615.340087890625,2559.389892578125,2615.31005859375,588700,0.0,0.0
2024-02-05 00:00:00+09:00,2612.77001953125,2612.77001953125,2562.5,2591.31005859375,511700,0.0,0.0
2024-02-06 00:00:00+09:00,2584.199951171875,2599.179931640625,2563.8701171875,2576.199951171875,411600,0.0,0.0
2024-02-07 00:00:00+09:00,2592.590087890625,2625.239990234375,2588.090087890625,2609.580078125,518200,0.0,0.0
2024-02-08 00:00:00+09:00,2620.260009765625,2629.510009765625,2610.2099609375,2620.320068359375,430000,0.0,0.0
2024-02-13 00:00:00+09:00,2644.169921875,2656.8701171875,2640.9599609375,2649.639892578125,559400,0.0,0.0
2024-02-14 00:00:00+09:00,2609.60009765625,2627.31005859375,2601.989990234375,2620.419921875,543500,0.0,0.0
